uID,link, desig, details, org, loc, exp, keyskills, descl, salary 
358,https://www.naukri.com/job-listings-Systems-Engineering-Tech-Lead-Fiserv-India-Pvt-Ltd-Pune-2-to-4-years-250517900369?src=jobsearchDesk&sid=14957739581672&xp=8,Systems Engineering Tech Lead,Systems Engineering Tech Lead,Fiserv India Pvt Ltd,Pune,2-4 yrs,Networking Windows Server Administration Team Foundation Server...,Job Purpose    Job Summary    Responsible for supporting software development processes ...,Not disclosed
359,https://www.naukri.com/job-listings-Sr-Analyst-disaster-Recovery-Invesco-Hyderabad-Pvt-Ltd-Hyderabad-6-to-10-years-180517901028?src=jobsearchDesk&sid=14957739581672&xp=9,Sr Analystdisaster Recovery,Sr Analystdisaster Recovery,Invesco (Hyderabad) Pvt Ltd,Hyderabad,6-10 yrs,Manager Technology Financial services Relationship management...,,Not disclosed
360,https://www.naukri.com/job-listings-Software-Developer-Fiserv-India-Pvt-Ltd-India-2-to-3-years-250517900351?src=jobsearchDesk&sid=14957739581672&xp=10,Software Developer,Software Developer,Fiserv India Pvt Ltd,India,2-3 yrs,Core Java JSP Spring Framework J2Ee JSF EJB Richfaces Oracle SQL...,Job Purpose    Essential Job Responsibilities:  1. Collaborate within a team environment in ...,Not disclosed
361,https://www.naukri.com/job-listings-Dsit-spa-Lead-Solution-Architect-retail-Payments-Shell-India-Markets-Private-Limited-Bengaluru-10-to-12-years-080317900882?src=jobsearchDesk&sid=14957739581672&xp=11,Dsit-spa- Lead Solution Architect (retail Payments),Dsit-spa- Lead Solution Architect (retail Payments),Shell India Markets Private Limited,Bengaluru,10-12 yrs,Service Networking Information technology SPA Cards Assurance...,Shell Solution Architects  (SA)  are responsible for delivering solution designs to projects.  These ...,Not disclosed
362,https://www.naukri.com/job-listings-IT-Analyst-Next-World-Immigration-Services-Associates-New-Delhi-India-Australia-Canada-1-to-6-years-070616009292?src=jobsearchDesk&sid=14957739581672&xp=12,IT Analyst,IT Analyst,Next World Immigration Services Associates New Delhi India.,Australia Canada,1-6 yrs,analyst ICT business analyst ICT system analyst Business system analyst...,,Not disclosed
363,https://www.naukri.com/job-listings-Associate-Analyst-Development-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-1-to-5-years-030517901055?src=jobsearchDesk&sid=14957739581672&xp=13,Associate Analyst Development,Associate Analyst Development,Sun Life India Service Centre Pvt. Ltd.,Gurgaon,1-5 yrs,Db2 Cobol JCL Application development VSAM Coding SQA IMS...,,Not disclosed
364,https://www.naukri.com/job-listings-Senior-Manager-Corporate-IT-Larsen-Toubro-Limited-Mumbai-Powai-7-to-10-years-270417006924?src=jobsearchDesk&sid=14957739581672&xp=14,Senior Manager Corporate IT,Senior Manager Corporate IT,Larsen & Toubro Limited,Mumbai(Powai),7-10 yrs,IT Infrastructure IT Infra services IT operations non it operations,Position : Senior Manager - Corporate IT  Qualification : BE/ BTech (Throughout first class ...,Not disclosed
365,https://www.naukri.com/job-listings-IT-Application-Management-Hyderabad-Dell-International-Services-India-Private-Limited-Hyderabad-0-to-2-years-240517008869?src=jobsearchDesk&sid=14957739581672&xp=15,IT Application Management -  Hyderabad,IT Application Management -  Hyderabad,Dell International Services India  Private Limited,Hyderabad,0-2 yrs,Application Packaging Windows Installer XP Powershell Operating Systems...,"0 to 2+ years of application packaging experience 	Good understanding of Windows Desktop Operating ...",Not disclosed
366,https://www.naukri.com/job-listings-Information-Security-Engineer-Corporate-IT-Larsen-Toubro-Limited-Mumbai-2-to-4-years-120517005044?src=jobsearchDesk&sid=14957739581672&xp=16,Information Security Engineer - Corporate IT,Information Security Engineer - Corporate IT,Larsen & Toubro Limited,Mumbai,2-4 yrs,Information Security symantec WSUS SCCM ISO bluecoat cyberoam Nessus...,,Not disclosed
367,https://www.naukri.com/job-listings-Senior-Associate-Enterprise-Networks-Ernst-Young-Kochi-4-to-7-years-240517500596?src=jobsearchDesk&sid=14957739581672&xp=17,Senior Associate - Enterprise Networks,Senior Associate - Enterprise Networks,Ernst Young,Kochi,4-7 yrs,Technical support LAN CCNA Troubleshooting DNS Service DHCP...,,Not disclosed
368,https://www.naukri.com/job-listings-Require-Passionate-IT-for-Top-HR-Consulting-firm-of-Pune-Peoplefy-Infosolutions-Pvt-Ltd-Pune-1-to-5-years-081216002728?src=jobsearchDesk&sid=14957739581672&xp=18,Require Passionate IT Recruiters for Top HR Consulting firm of Pune ,Require Passionate IT Recruiters for Top HR Consulting firm of Pune ,Peoplefy Infosolutions Pvt. Ltd.,Pune,1-5 yrs,Software information technology IT recruiting recruiter...,,Not disclosed
369,https://www.naukri.com/job-listings-EDP-or-IT-Manager-Executive-for-Hotels-Oasis-Mumbai-2-to-6-years-050517003423?src=jobsearchDesk&sid=14957739581672&xp=19,EDP or IT Manager / Executive for Hotels,EDP or IT Manager / Executive for Hotels,Oasis,Mumbai,2-6 yrs,IT Management EDP IT IDS Information Technology System...,,300000 - 500000 P.A.
370,https://www.naukri.com/job-listings-Associate-Professor-Information-Technology-Indian-Institute-of-Technology-Kharagpur-Kharagpur-6-to-11-years-240417901201?src=jobsearchDesk&sid=14957739581672&xp=20,Associate Professor - Information Technology,Associate Professor - Information Technology,Indian Institute of Technology Kharagpur,Kharagpur,6-11 yrs,,,Pay Scale: PB-4 Rs. 37400-67000/-AGP Rs. 9500/-
371,https://www.naukri.com/job-listings-Professor-Information-Technology-Indian-Institute-of-Technology-Kharagpur-Kharagpur-10-to-15-years-240417901081?src=jobsearchDesk&sid=14957739581672&xp=21,Professor - Information Technology,Professor - Information Technology,Indian Institute of Technology Kharagpur,Kharagpur,10-15 yrs,,,Pay Scale: PB-4 Rs.37400-67000/-AGP Rs.10500/-
372,https://www.naukri.com/job-listings-F2F-Interview-call-Letter-L2-Network-Engineer-with-Dimension-Data-Dimension-Data-India-Pvt-Ltd-Bengaluru-4-to-9-years-110517005350?src=jobsearchDesk&sid=14957739581672&xp=22,F2F Interview call Letter :L2 Network Engineer with Dimension Data,F2F Interview call Letter :L2 Network Engineer with Dimension Data,Dimension Data India Pvt Ltd.,Bengaluru,4-9 yrs,CCNP CCNA Ccdp Networking Routing Switching Network Engineering L2...,We have an opening for L2 Network Engineer requirement with Dimension Data . We are pleased to invite ...,Not disclosed
373,https://www.naukri.com/job-listings-F2F-Interview-call-Letter-L1-Network-Engineer-with-Dimension-Data-Dimension-Data-India-Pvt-Ltd-Bengaluru-3-to-8-years-080517007644?src=jobsearchDesk&sid=14957739581672&xp=23,F2F Interview call Letter : L1 Network Engineer with Dimension Data,F2F Interview call Letter : L1 Network Engineer with Dimension Data,Dimension Data India Pvt Ltd.,Bengaluru,3-8 yrs,Ccdp CCNA CCNP Networking Switching Routing Network Engineering L1...,Dear   We have an opening for L1 Network Engineer requirement with Dimension Data. We are ...,Not disclosed
374,https://www.naukri.com/job-listings-Phishing-Analyst-3-to-6-yrs-Bangalore-MNC-Client-Neo-Rays-Software-Solutions-Pvt-Ltd-Bengaluru-3-to-6-years-200517000500?src=jobsearchDesk&sid=14957739581672&xp=24,Phishing Analyst_3 to 6 yrs_ Bangalore_  MNC Client,Phishing Analyst_3 to 6 yrs_ Bangalore_  MNC Client,Neo Rays Software Solutions Pvt Ltd,Bengaluru,3-6 yrs,Phishing, We have an opening with our client for  PHISHING ANALYST_3 to 6 yrs_ BANGALORE_  MNC ...,Not disclosed
375,https://www.naukri.com/job-listings-BT-Protocol-Testing-3-Yrs-bangalore-Location-MNC-Client-Neo-Rays-Software-Solutions-Pvt-Ltd-Bengaluru-3-to-8-years-200517000478?src=jobsearchDesk&sid=14957739581672&xp=25,BT Protocol Testing  3 + Yrs_bangalore Location_ MNC Client,BT Protocol Testing  3 + Yrs_bangalore Location_ MNC Client,Neo Rays Software Solutions Pvt Ltd,Bengaluru,3-8 yrs,Infotainment testing Connectivity domain HFP A2DP AVRCP MAP..., We have an opening with our client for BT Protocol Testing    _ 3 + yrs_ Bangalore LOCATION_ MNC ...,Not disclosed
376,https://www.naukri.com/job-listings-Executive-Information-Technology-Siesta-Hospitality-Services-Limited-Mumbai-3-to-8-years-080217500424?src=jobsearchDesk&sid=14957739581672&xp=26,Executive Information Technology,Executive Information Technology,Siesta Hospitality Services Limited,Mumbai,3-8 yrs,Remote support Hardware Executive Information Technology Inventory...,,Not disclosed
377,https://www.naukri.com/job-listings-IT-Support-Specialist-Sophos-technologies-P-Ltd-Ahmedabad-2-to-4-years-090217007390?src=jobsearchDesk&sid=14957739581672&xp=27,IT Support Specialist,IT Support Specialist,Sophos technologies P Ltd,Ahmedabad,2-4 yrs,Networking Incident Management Active Directory Team Leading...,The Global Information Technology (IT) Service Management Team are part of Sophoss Information ...,Not disclosed
378,https://www.naukri.com/job-listings-US-IT-Recruiter-Simple-Analytics-Chennai-1-to-2-years-230217008395?src=jobsearchDesk&sid=14957739581672&xp=28,US IT Recruiter,US IT Recruiter,Simple Analytics,Chennai,1-2 yrs,US IT Recruitment HR and Recruitment and IR Recruitment and Staffing...,   Scope of Work :     Recruit standout IT candidates through ...,200000 - 300000 P.A. Incentives will be allowed as ...
379,https://www.naukri.com/job-listings-Asp-net-Solution-Architect-Developer-Key-Media-Bengaluru-3-to-5-years-220916003109?src=jobsearchDesk&sid=14957739581672&xp=29,Asp.net Solution Architect / Developer,Asp.net Solution Architect / Developer,Key Media,Bengaluru,3-5 yrs,ASP.Net C# SQL Web Development Web Technologies New Projects...,We're an international media company looking for a senior ASP.Net developer / architect to work on our ...,Not disclosed
380,https://www.naukri.com/job-listings-IT-Recruiter-TechNex-Technologies-Pvt-Ltd-Pune-Vishrantwadi-2-to-3-years-180517008149?src=jobsearchDesk&sid=14957739581672&xp=30,IT Recruiter,IT Recruiter,TechNex Technologies Pvt Ltd.,Pune(Vishrantwadi),2-3 yrs,Javascript HTML Core PHP MySQL Wordpress Joomla IT Recruitment...,  Excellent communication skills  The candidate should be able to source quality ...,200000 - 350000 P.A.
381,https://www.naukri.com/job-listings-Business-Analyst-Manager-ttdas-Ernst-Young-Bengaluru-10-to-15-years-170517900895?src=jobsearchDesk&sid=14957739581672&xp=31,Business Analyst - Manager-ttdas,Business Analyst - Manager-ttdas,Ernst Young,Bengaluru,10-15 yrs,Project management Application development Workflow Service Information...,Position     EY s GDS Tax Technology team s mission is to develop  implement and integrate ...,Not disclosed
382,https://www.naukri.com/job-listings-Ptnr-Channel-Dev-Mgr-Microsoft-India-R-and-D-Pvt-Ltd-Mumbai-5-to-10-years-170517900834?src=jobsearchDesk&sid=14957739581672&xp=32,Ptnr Channel Dev Mgr,Ptnr Channel Dev Mgr,Microsoft India (R and D) Pvt Ltd,Mumbai,5-10 yrs,Business Development Manager Channel sales CRM Business strategy...,Segment SMSP -  SMB    Standard Title /   Qualifier 1/  Qualifier 2 Partner Channel Dev ...,Not disclosed
383,https://www.naukri.com/job-listings-Ptnr-Channel-Dev-Mgr-Microsoft-India-R-and-D-Pvt-Ltd-Pune-5-to-10-years-170517900833?src=jobsearchDesk&sid=14957739581672&xp=33,Ptnr Channel Dev Mgr,Ptnr Channel Dev Mgr,Microsoft India (R and D) Pvt Ltd,Pune,5-10 yrs,Business Development Manager Channel sales CRM Business strategy...,Segment SMSP -  SMB    Standard Title /   Qualifier 1/  Qualifier 2 Partner Channel Dev ...,Not disclosed
384,https://www.naukri.com/job-listings-Chief-of-Operations-Technology-and-Finance-IIT-IIM-Artconnect-Global-Startup-Bengaluru-Delhi-5-to-6-years-170517900067?src=jobsearchDesk&sid=14957739581672&xp=34,Chief of Operations Technology and Finance - IIT/ IIM,Chief of Operations Technology and Finance - IIT/ IIM,Artconnect Global - Startup,Bengaluru Delhi,5-6 yrs,Product Design Finance Operations Management Team Management...,I am looking for a passionate co-founder who is passionate about making a difference and dreaming of ...,Not disclosed
385,https://www.naukri.com/job-listings-Consultant-IT-Dw-bi-mca-2yrs-Contract-Role-NISG-NISG-National-Institute-of-Smart-Government-Delhi-NCR-Delhi-4-to-8-years-170417004708?src=jobsearchDesk&sid=14957739581672&xp=35,Consultant IT Dw/bi-mca-2yrs Contract Role- NISG,Consultant IT Dw/bi-mca-2yrs Contract Role- NISG,NISG ( National Institute of Smart Government),Delhi NCR Delhi,4-8 yrs,Data Extraction Data Mining Data Analysis Data Quality...,Hi    there is opening with MCA ( Ministry of Corporate Affairs ...,Not disclosed
386,https://www.naukri.com/job-listings-Mgr-Quality-Assurance-Great-West-Global-Business-Services-India-Pvt-Ltd-Bengaluru-12-to-16-years-160517900774?src=jobsearchDesk&sid=14957739581672&xp=36,Mgr Quality Assurance,Mgr Quality Assurance,Great West Global Business Services India Pvt. Ltd,Bengaluru,12-16 yrs,Talent acquisition Automation Manager Quality Assurance...,,Not disclosed
387,https://www.naukri.com/job-listings-Lead-Auditor-ISMS-ISO-27001-TUV-SUD-SOUTH-ASIA-PRIVATE-LIMITED-Bengaluru-4-to-9-years-160517007507?src=jobsearchDesk&sid=14957739581672&xp=37,Lead Auditor - ISMS ( ISO 27001),Lead Auditor - ISMS ( ISO 27001),TUV SUD SOUTH ASIA PRIVATE LIMITED,Bengaluru,4-9 yrs,ISMS ISO 27001 Information Security ISO 9001 Quality Management...,,Not disclosed
388,https://www.naukri.com/job-listings-Technical-Sales-Executive-GOOD-KARMA-INFORMATION-TECHNOLOGIES-PVT-LTD-Gurgaon-Noida-0-to-5-years-160517005798?src=jobsearchDesk&sid=14957739581672&xp=38,Technical Sales Executive,Technical Sales Executive,GOOD KARMA INFORMATION TECHNOLOGIES PVT LTD,Gurgaon Noida,0-5 yrs,Sales Executive Activities Outbound Calling Technical Sales Inbound...,Greeting From Good karma information Technology !  Opening For Technical sales executive ...,100000 - 400000 P.A. meal and cab
389,https://www.naukri.com/job-listings-Opening-for-Senior-Process-Analyst-IoT-Tata-Communications-Ltd-Chennai-4-to-9-years-160517003740?src=jobsearchDesk&sid=14957739581672&xp=39,Opening for Senior Process Analyst IoT,Opening for Senior Process Analyst IoT,Tata Communications Ltd,Chennai,4-9 yrs,Software Development Smart Cities Product Engineering Six Sigma...,Senior Process Analyst IoT   The candidate will be part of IoT Product Management team ...,Not disclosed
390,https://www.naukri.com/job-listings-People-Advisior-ANL-Accenture-Solutions-Pvt-Ltd-Pune-5-to-8-years-160317901770?src=jobsearchDesk&sid=14957739581672&xp=40,People Advisior ANL,People Advisior ANL,Accenture Solutions Pvt Ltd,Pune,5-8 yrs,Training Compensation Performance Management Employee Relations...,Job Summary:  The Human Resources Representative Sr. Analyst will provide integrated Human Resources ...,Not disclosed
391,https://www.naukri.com/job-listings-Computer-Teacher-Delhi-Public-School-Jamnagar-Jamnagar-1-to-6-years-150517007438?src=jobsearchDesk&sid=14957739581672&xp=41,Computer Teacher,Computer Teacher,Delhi Public School Jamnagar,Jamnagar,1-6 yrs,computer science teacher computer teacher computer faculty..., Requirement for Computer teacher  The candidate should be Graduate / Post graduate and ...,Not disclosed
392,https://www.naukri.com/job-listings-Walk-ins-for-Business-Analyst-Exp-0-4-Yrs-on-20th-May-2017-Store-Hippo-Pvt-Ltd-Gurgaon-Sohna-Road-0-to-4-years-150517004938?src=jobsearchDesk&sid=14957739581672&xp=42,Walk-ins for Business Analyst - Exp (0-4 Yrs) on 20th May 2017,Walk-ins for Business Analyst - Exp (0-4 Yrs) on 20th May 2017,Store Hippo Pvt Ltd,Gurgaon(Sohna Road),0-4 yrs,CSS HTML Client Interaction Business Analysis Issue Resolution...,We are looking for a Business Analyst who will be the vital link between our information technology ...,275000 - 600000 P.A.
393,https://www.naukri.com/job-listings-Business-Development-Manager-US-Staffing-night-Shift-Sage-Technologies-Pvt-Ltd-Noida-Sector-65-Noida-3-to-6-years-150517003939?src=jobsearchDesk&sid=14957739581672&xp=43,Business Development Manager- US Staffing(night Shift),Business Development Manager- US Staffing(night Shift),Sage Technologies Pvt Ltd,Noida(Sector-65 Noida),3-6 yrs,Business Development Management CRM Technology Solutions..., Dear All   Hope doing great!  We do have urgent requirement for Business ...,Not disclosed
394,https://www.naukri.com/job-listings-Urgently-Required-Senior-Software-Developer-PHP-SkoolTree-Technologies-Pvt-Ltd-Kolkata-Salt-Lake-1-to-5-years-130417008866?src=jobsearchDesk&sid=14957739581672&xp=44,Urgently Required Senior Software Developer - PHP,Urgently Required Senior Software Developer - PHP,SkoolTree Technologies Pvt. Ltd.,Kolkata(Salt Lake),1-5 yrs,algorithm software engineer software developer software programmer...,1) Demonstrated experience with PHP5 MySQL HTML CSS and Javascript 2) Solid knowledge of object ...,350000 - 750000 P.A.
395,https://www.naukri.com/job-listings-Senior-Business-Systems-Analyst-Associate-JPMorgan-Chase-Bengaluru-2-to-5-years-120517900736?src=jobsearchDesk&sid=14957739581672&xp=45,Senior Business Systems Analyst - Associate,Senior Business Systems Analyst - Associate,JPMorgan Chase,Bengaluru,2-5 yrs,Information technology Tools Assurance Messaging Computer science data...,As T- Shaped Broad skilled software professional with deep skills in a Business Systems Analysis  you ...,Not disclosed
396,https://www.naukri.com/job-listings-Access-Operations-Access-Reconciliation-Team-Lead-JPMorgan-Chase-Bengaluru-6-to-7-years-120517900730?src=jobsearchDesk&sid=14957739581672&xp=46,Access Operations: Access Reconciliation Team Lead,Access Operations: Access Reconciliation Team Lead,JPMorgan Chase,Bengaluru,6-7 yrs,VISIO Access Sharepoint Service Financial services Wealth management...,J.P. Morgan is a leading global financial services firm  established over 200 years ago:     We ...,Not disclosed
397,https://www.naukri.com/job-listings-Tech-Ops-Technician-DB-JPMorgan-Chase-Bengaluru-1-to-3-years-120517900681?src=jobsearchDesk&sid=14957739581672&xp=47,Tech Ops Technician - DB,Tech Ops Technician - DB,JPMorgan Chase,Bengaluru,1-3 yrs,Risk Customer service Process improvement Risk management Real estate...,Corporate Technology &amp; Risk (CTR) delivers streamlined and consistent solutions supporting JPMorgan ...,Not disclosed
398,https://www.naukri.com/job-listings-Exec-Assistant-Secretary-to-The-Managing-Director-of-Toshali-Group-Toshali-Resorts-International-Unit-of-TK-International-Limited-Bhubaneshwar-5-to-6-years-120517007305?src=jobsearchDesk&sid=14957739581672&xp=48,Exec. Assistant/ Secretary to The Managing Director of Toshali Group,Exec. Assistant/ Secretary to The Managing Director of Toshali Group,Toshali Resorts International(Unit of TK International Limited),Bhubaneshwar,5-6 yrs,Planning Information Technology,To perform clerical tasks like accepting and making phone calls setting business meeting agendas ...,225000 - 300000 P.A.
399,https://www.naukri.com/job-listings-Manager-senior-Manager-digital-Marketing-prime-Focus-Technologies-Prime-Focus-Technologies-Ltd-Mumbai-8-to-13-years-120517003152?src=jobsearchDesk&sid=14957739581672&xp=49,Manager/senior Manager-digital Marketing-prime Focus Technologies,Manager/senior Manager-digital Marketing-prime Focus Technologies,Prime Focus Technologies Ltd,Mumbai,8-13 yrs,Digital Marketing SEO Search Engine Optimization Web Marketing...,  Develop and evolve an ecosystem of web assets (e.g. corporate website microsites social ...,Not disclosed
400,https://www.naukri.com/job-listings-Business-Development-Manager-SPEC-INDIA-Ahmedabad-8-to-10-years-120517001334?src=jobsearchDesk&sid=14957739581672&xp=50,Business Development Manager,Business Development Manager,SPEC INDIA,Ahmedabad,8-10 yrs,Business Development Market Penetration International Marketing...,  Should have 8+ years of experience mainly in software solutions selling. Should be able to ...,Not disclosed
401,https://www.naukri.com/job-listings-CIB-Equities-Core-Java-database-Developer-Associate-JPMorgan-Chase-Bengaluru-8-to-12-years-110517900771?src=jobsearchDesk&sid=14957739605008&xp=1,CIB Equities - Core Java/database Developer - Associate,CIB Equities - Core Java/database Developer - Associate,JPMorgan Chase,Bengaluru,8-12 yrs,Technical Front office Order management Risk management...,    Business Area Description     The Global Equities Technology stack at J P Morgan is ...,Not disclosed
402,https://www.naukri.com/job-listings-Opening-for-Network-Administrator-at-Landis-Gyr-Ltd-Landis-Gyr-Ltd-Noida-3-to-5-years-180517000498?src=jobsearchDesk&sid=14957739605008&xp=2,Opening for Network Administrator  at Landis Gyr Ltd.,Opening for Network Administrator  at Landis Gyr Ltd.,Landis Gyr Ltd.,Noida,3-5 yrs,IT Networking Switching Routing Cisco Routers WAN Connectivity...,Sr. Engineer Network Administrator  This position is responsible for maintenance operational ...,400000 - 900000 P.A. As Industry Norms
403,https://www.naukri.com/job-listings-Technical-Consultant-6-days-Working-Rotational-Us-uk-Shift-Brain4ce-Education-Solutions-P-Ltd-Bengaluru-0-to-1-years-110517001410?src=jobsearchDesk&sid=14957739605008&xp=3,Technical Consultant(6 days Working / Rotational Us-uk Shift),Technical Consultant(6 days Working / Rotational Us-uk Shift),Brain4ce Education Solutions (P) Ltd,Bengaluru,0-1 yrs,Computer Science Information Technology Technical Support,Dear Candidate    Edureka is hiring for  Technical Consultants ((6 days working / ...,300000 - 325000 P.A.
404,https://www.naukri.com/job-listings-Information-Security-Engineer-Larsen-Toubro-Limited-Mumbai-2-to-4-years-260417003887?src=jobsearchDesk&sid=14957739605008&xp=4,Information Security Engineer,Information Security Engineer,Larsen & Toubro Limited,Mumbai,2-4 yrs,Fortigate Bluecoat Checkpoint Application Security Nessus ISO 27001...,,100000 - 300000 P.A.
405,https://www.naukri.com/job-listings-Software-Architect-CERNER-HEALTHCARE-SOLUTIONS-PVT-LTD-Bengaluru-4-to-6-years-100517901185?src=jobsearchDesk&sid=14957739605008&xp=5,Software Architect,Software Architect,CERNER HEALTHCARE SOLUTIONS PVT LTD,Bengaluru,4-6 yrs,SQL Ajax JSP jQuery Troubleshooting Workflow JSON Scrum Information...,Job Description     As a senior member of front end expertize (FEE) team at Cerner you will ...,Not disclosed
406,https://www.naukri.com/job-listings-Senior-Network-Admin-only-CCNP-Certified-Candidates-Techbooks-International-Pvt-Ltd-Delhi-NCR-5-to-8-years-010317006991?src=jobsearchDesk&sid=14957739605008&xp=6,Senior Network Admin only CCNP Certified Candidates,Senior Network Admin only CCNP Certified Candidates,Techbooks International Pvt. Ltd,Delhi NCR,5-8 yrs,Network Administration senior network admin ospf bgp mpls isdn ccnp..., Hi All         Company Profile:     Aptara ...,175000 - 675000 P.A.
407,https://www.naukri.com/job-listings-Quality-Assurance-Analyst-JPMorgan-Chase-Hyderabad-1-to-2-years-100517901072?src=jobsearchDesk&sid=14957739605008&xp=7,Quality Assurance Analyst,Quality Assurance Analyst,JPMorgan Chase,Hyderabad,1-2 yrs,SQL Oracle Unix Sybase Information technology Customer service WinTEL...,J.P. Morgan is a leading global financial services firm established over 200 years ago: ...,Not disclosed
408,https://www.naukri.com/job-listings-Looking-for-Network-Engineer-Profile-New-Delhi-Location-IAP-Company-Private-Limited-Delhi-NCR-Jasola-3-to-6-years-100517005359?src=jobsearchDesk&sid=14957739605008&xp=8,Looking for  Network Engineer Profile New Delhi  Location,Looking for  Network Engineer Profile New Delhi  Location,IAP Company Private Limited,Delhi NCR(Jasola),3-6 yrs,Networking MPLS VPN Cisco ASA IPSEC Juniper Fortigate Bgp Firewall...,Dear Candidate  Greetings from IAP!  Urgent opening for Senior Back base Developer  ...,Not disclosed
409,https://www.naukri.com/job-listings-CIB-Transaction-Processing-Manager-Associate-JPMorgan-Chase-Mumbai-3-to-8-years-100517901068?src=jobsearchDesk&sid=14957739605008&xp=9,CIB - Transaction Processing Manager - Associate,CIB - Transaction Processing Manager - Associate,JPMorgan Chase,Mumbai,3-8 yrs,Testing Project management Information technology Test cases ISO...,KEY OBJECTIVES OF THE ROLE     User Testing Manager     The main purpose of this person ...,Not disclosed
410,https://www.naukri.com/job-listings-Network-Operations-Engineer-PAREXEL-International-Hyderabad-5-to-10-years-060517900315?src=jobsearchDesk&sid=14957739605008&xp=10,Network Operations Engineer,Network Operations Engineer,PAREXEL International,Hyderabad,5-10 yrs,Network Operations Engineer,,Not disclosed
411,https://www.naukri.com/job-listings-CIB-UAT-Analyst-Associate-Mumbai-JPMorgan-Chase-Mumbai-5-to-10-years-100517901058?src=jobsearchDesk&sid=14957739605008&xp=11,CIB - UAT Analyst - Associate - Mumbai,CIB - UAT Analyst - Associate - Mumbai,JPMorgan Chase,Mumbai,5-10 yrs,Technical Financial services Project management Business Analyst...,JPMorgan Chase &amp; Co . (NYSE: JPM) is a leading global financial services firm with assets of $2 .5 ...,Not disclosed
412,https://www.naukri.com/job-listings-Associate-data-Analytics-JPMorgan-Chase-Bengaluru-4-to-9-years-100517901056?src=jobsearchDesk&sid=14957739605008&xp=12,Associate _data Analytics,Associate _data Analytics,JPMorgan Chase,Bengaluru,4-9 yrs,Service Financial services Wealth management Analytical...,J.P. Morgan is a leading global financial services firm established over 200 years ago:   &amp;bull ...,Not disclosed
413,https://www.naukri.com/job-listings-IT-Data-Analyst-JPMorgan-Chase-Hyderabad-3-to-8-years-100517901053?src=jobsearchDesk&sid=14957739605008&xp=13,IT Data Analyst,IT Data Analyst,JPMorgan Chase,Hyderabad,3-8 yrs,Oracle UML Sybase Application development Data modeling Agile...,JPMorgan Chase &amp; Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.6 ...,Not disclosed
414,https://www.naukri.com/job-listings-Asia-Pacific-Events-Technical-Lead-JPMorgan-Chase-Bengaluru-2-to-5-years-100517901042?src=jobsearchDesk&sid=14957739605008&xp=14,Asia Pacific Events Technical Lead,Asia Pacific Events Technical Lead,JPMorgan Chase,Bengaluru,2-5 yrs,Cisco Information technology audio visual Multimedia...,Global Services Operations (GSO) is responsible for service support and delivery for JPMorgan Chase's ...,Not disclosed
415,https://www.naukri.com/job-listings-Walk-in-Fresh-Engineers-Required-junior-Analyst-trainee-Paragon-Digital-Services-Private-Limited-Chennai-0-to-0-years-010517002815?src=jobsearchDesk&sid=14957739605008&xp=15,Walk-in | Fresh Engineers Required-junior Analyst (trainee),Walk-in | Fresh Engineers Required-junior Analyst (trainee),Paragon Digital Services Private Limited,Chennai,0-0 yrs,Online Marketing Digital Advertising Digital Media Media Buying...,We are pleased to connect with you to discuss on the position given in the subject line. We are in the ...,150000 - 200000 P.A.
416,https://www.naukri.com/job-listings-Software-Developer-Trainee-Professional-HR-Services-Bokaro-Dhanbad-Ranchi-0-to-5-years-250417006996?src=jobsearchDesk&sid=14957739605008&xp=16,Software Developer Trainee,Software Developer Trainee,Professional HR Services,Bokaro Dhanbad Ranchi,0-5 yrs,PHP php developer php programmer .NET dot net asp.net .net developer...,,100000 - 300000 P.A. Lodging FREE
417,https://www.naukri.com/job-listings-Head-IT-digital-Restaurant-Technologies-Gurgaon-Synergy-HRD-Consultants-Private-Limited-Gurgaon-11-to-18-years-030417004530?src=jobsearchDesk&sid=14957739605008&xp=17,Head- IT (digital & Restaurant Technologies) - Gurgaon,Head- IT (digital & Restaurant Technologies) - Gurgaon,Synergy HRD Consultants Private Limited,Gurgaon,11-18 yrs,Cpg IT Operations information technology operations...,,3000000 - 4500000 P.A.
418,https://www.naukri.com/job-listings-Sr-Network-Engineer-Gartner-India-Research-Advisory-Services-Pvt-Ltd-Gurgaon-5-to-10-years-220517501225?src=jobsearchDesk&sid=14957739605008&xp=18,Sr Network Engineer,Sr Network Engineer,Gartner India Research & Advisory Services Pvt Ltd,Gurgaon,5-10 yrs,Troubleshooting LAN Unix WAN DNS DHCP VPN Network security Wireless...,,Not disclosed
419,https://www.naukri.com/job-listings-IT-Engineer-Sr-Qualcomm-india-pvt-ltd-Bengaluru-5-to-8-years-220517501059?src=jobsearchDesk&sid=14957739605008&xp=19,IT Engineer Sr,IT Engineer Sr,Qualcomm india pvt ltd.,Bengaluru,5-8 yrs,Oracle Unix Perl Solaris VMware Information security...,,Not disclosed
