uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
538,https://www.naukri.com/job-listings-Senior-Manager-HR-Operations-US-Consulting-Premium-Hyderabad-8-to-13-years-310517900161?src=jobsearchDesk&sid=1496502140232&xp=9,Senior Manager - HR Operations - US - Consulting,Senior Manager - HR Operations - US - Consulting,Premium,Hyderabad,8-13 yrs,H1B- C2C- W2- HR Operations- US IT Staffing- Exit Formalities- Ead...,Sr. Manager - HR (US Operation)  - On boarding / Exit formalities. Well versed on the On ...,Not disclosed,2
539,https://www.naukri.com/job-listings-Immediate-Requirement-for-HR-Intern-recruitment-at-Chennai-Saaki-Argus-And-Averil-Consulting-Chennai-0-to-0-years-310517007085?src=jobsearchDesk&sid=1496502140232&xp=10,Immediate Requirement for HR - Intern (recruitment) at Chennai,Immediate Requirement for HR - Intern (recruitment) at Chennai,Saaki Argus And Averil Consulting,Chennai,0-0 yrs,Recruitment- HR,Greetings from Saaki Argus and Averil Consulting!!!    Immediate requirement for HR ...,Not disclosed,3
540,https://www.naukri.com/job-listings-Walkin-for-the-Position-of-IT-HR-Recruiter-2-4-Yrs-SVK-Global-Solutions-Private-Limited-Hyderabad-Kondapur-2-to-4-years-310517006547?src=jobsearchDesk&sid=1496502140232&xp=11,Walkin for the Position of  IT /HR Recruiter(2-4 Yrs),Walkin for the Position of  IT /HR Recruiter(2-4 Yrs),SVK Global Solutions Private Limited,Hyderabad(Kondapur),2-4 yrs,Recruitment- Screening- Sourcing- Hiring- HR- Staffing- Social Networking..., Walkin-in for the position of IT /HR Recruiter(2-4 Yrs)    Handling whole ...,150000 - 225000 P.A.,3
541,https://www.naukri.com/job-listings-HR-Generalist-Samrddhi-Consultancy-Services-OPC-Pvt-Ltd-Trivandrum-5-to-10-years-310517006095?src=jobsearchDesk&sid=1496502140232&xp=12,HR Generalist,HR Generalist,Samrddhi Consultancy Services (OPC) Pvt Ltd.,Trivandrum,5-10 yrs,compensation and Benefits- Talent Acquisition- HR Policies...,We are looking for an enthusiastic Human Resources (HR) Generalist to implement a variety of human ...,700000 - 1200000 P.A.,3
542,https://www.naukri.com/job-listings-Urgent-Vacancy-FOR-HR-Recruiter-MBA-HR-Fresher-AT-RPO-Sealink-Global-Solutions-Ahmedabad-Ellisbridge-3-0-to-3-years-310517005767?src=jobsearchDesk&sid=1496502140232&xp=13,Urgent Vacancy FOR HR Recruiter / MBA HR / Fresher AT RPO,Urgent Vacancy FOR HR Recruiter / MBA HR / Fresher AT RPO,Sealink Global Solutions,Ahmedabad(Ellisbridge+3),0-3 yrs,Recruitment- HR Consulting- Hr Mba- Selection- Hr Fresher- Screening...,  URGENT VACANCY FOR HR RECRUITER / HR EXECUTIVE / HR CONSULTANT ...,100000 - 400000 P.A. Incentives Extra,3
543,https://www.naukri.com/job-listings-Hr-Recruiter-Female-Pitampura-Shanti-Consultants-Delhi-0-to-1-years-310517005087?src=jobsearchDesk&sid=1496502140232&xp=14,Hr Recruiter - Female - Pitampura,Hr Recruiter - Female - Pitampura,Shanti Consultants,Delhi,0-1 yrs,Recruitment- Screening- HR- Hr Recruiter- Pitam Pura- Job Portals, ,100000 - 150000 P.A.,3
544,https://www.naukri.com/job-listings-Hiring-for-HR-Recruiter-Team-Leader-BDE-and-Senior-Recruiter-Upraisal-People-Productivity-Performance-Mumbai-1-to-4-years-310517004913?src=jobsearchDesk&sid=1496502140232&xp=15,Hiring for HR Recruiter / Team Leader / BDE and Senior Recruiter,Hiring for HR Recruiter / Team Leader / BDE and Senior Recruiter,Upraisal People Productivity Performance,Mumbai,1-4 yrs,Recruitment- Cold Calling- HR Processes- Bde- Business Development...,We have a requirement for the post of HR Recruiter- Sr. HR Recruiter and Team Leader at our office in ...,100000 - 300000 P.A. Incentive and Bonuses extra,3
545,https://www.naukri.com/job-listings-Openings-for-Hr-Recruiter-Call-to-9940596159-Square-One-Infosolutions-Private-Limited-Chennai-0-to-1-years-310517004875?src=jobsearchDesk&sid=1496502140232&xp=16,Openings for Hr Recruiter Call to 9940596159,Openings for Hr Recruiter Call to 9940596159,Square One Infosolutions Private Limited,Chennai,0-1 yrs,HR- Recruitment- Excellent communication- human resource,Job Description Â  Â   Any candidate with excellent communication can ...,150000 - 175000 P.A.,3
546,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Recruiter-in-Andheri-2-to-3-Years-Night-Shift-mLogica-Computech-India-Pvt-Ltd-Mumbai-2-to-3-years-310517004832?src=jobsearchDesk&sid=1496502140232&xp=17,Urgent Opening for HR Recruiter in Andheri (2 to 3 Years) Night Shift,Urgent Opening for HR Recruiter in Andheri (2 to 3 Years) Night Shift,mLogica Computech (India) Pvt. Ltd.,Mumbai,2-3 yrs,IT Recruitment- HR- Night Shift, Dear Candidates-  Greetings from mLogica Computech (India) Pvt. Ltd.  RequireÂ  ...,Not disclosed,3
547,https://www.naukri.com/job-listings-HR-Executive-S-F-Consultants-Ranchi-0-to-2-years-310517004780?src=jobsearchDesk&sid=1496502140232&xp=18,HR Executive,HR Executive,S & F Consultants,Ranchi,0-2 yrs,Recruitment- Shortlisting- Screening- Head Hunting- Sourcing- Hiring- HR...,As a Consultant you will be responsible for sourcing potential job seekers to fulfil the hiring ...,100000 - 150000 P.A.,3
548,https://www.naukri.com/job-listings-Senior-Manager-DGM-Plant-HR-Engineering-oem-Ideal-Placement-and-Consultants-P-Ltd-Bengaluru-14-to-21-years-310517004561?src=jobsearchDesk&sid=1496502140232&xp=19,Senior Manager/ DGM - Plant HR - Engineering/oem,Senior Manager/ DGM - Plant HR - Engineering/oem,Ideal Placement and Consultants (P) Ltd.,Bengaluru,14-21 yrs,Talent Management- Performance Management- Talent Acquisition...,- Managing entire HR Life Cycle from Talent Acquisition- Performance Management- Talent Management- ...,2000000 - 2500000 P.A.,3
549,https://www.naukri.com/job-listings-Business-Partner-HR-Deevoir-Consulting-Services-Pvt-Ltd-Pune-10-to-19-years-310517004451?src=jobsearchDesk&sid=1496502140232&xp=20,Business Partner HR,Business Partner HR,Deevoir Consulting Services Pvt Ltd,Pune,10-19 yrs,HR Generalist Activities- Recruitment- Employee Relations- Compensation...,   About the Client:     Our Client is a well-known brokerage and investment ...,Not disclosed,2
550,https://www.naukri.com/job-listings-Urgent-Hiring-for-Part-time-HR-Professional-female-Prefered-Drishti-Consultants-Pvt-Ltd-Surat-10-to-15-years-310517004387?src=jobsearchDesk&sid=1496502140232&xp=21,Urgent Hiring for Part time HR Professional (female Prefered),Urgent Hiring for Part time HR Professional (female Prefered),Drishti Consultants Pvt. Ltd.,Surat,10-15 yrs,generalist- recruitment, ,Not disclosed,3
551,https://www.naukri.com/job-listings-HR-Executive-Female-worli-Mumbai-2Coms-Consulting-Pvt-Ltd-Mumbai-Worli-Mumbai-Suburbs-Navi-Mumbai-2-to-4-years-310517003615?src=jobsearchDesk&sid=1496502140232&xp=22,HR Executive - Female - (worli) Mumbai,HR Executive - Female - (worli) Mumbai,2Coms Consulting Pvt Ltd.,Mumbai(Worli)- Mumbai Suburbs- Navi Mumbai,2-4 yrs,HR- PF- ESIC- Payroll Processing- Exit Management- Induction- Attendance...,Greetings!!!  Please note we require cvs for below mentioned position   urgently: ...,Not disclosed,3
552,https://www.naukri.com/job-listings-Urgent-Opening-HR-Business-Partner-ManpowerGroup-Services-India-Private-Limited-Hyderabad-2-to-5-years-310517002470?src=jobsearchDesk&sid=1496502140232&xp=23,Urgent Opening - HR Business Partner,Urgent Opening - HR Business Partner,ManpowerGroup Services India Private Limited,Hyderabad,2-5 yrs,Business Partnering- HR- human resource- hr executive,We are looking for HR Business Partner for our client in Hyderabad Location.    We ...,450000 - 600000 P.A.,3
553,https://www.naukri.com/job-listings-Manager-HR-Admin-Oman-Hector-and-Streak-Consulting-Pvt-Ltd-Oman-Oman-7-to-10-years-310517002449?src=jobsearchDesk&sid=1496502140232&xp=24,Manager HR & Admin - Oman,Manager HR & Admin - Oman,Hector and Streak Consulting Pvt Ltd,Oman- Oman,7-10 yrs,HR Administration- Human Resource Management- HR Generalist, ,2500000 - 3000000 P.A.,3
554,https://www.naukri.com/job-listings-HR-Manager-hr-Business-Partner-Rize-People-Konnect-Private-Limited-Mumbai-7-to-12-years-310517000492?src=jobsearchDesk&sid=1496502140232&xp=25,HR Manager/hr Business Partner,HR Manager/hr Business Partner,Rize @ People Konnect Private Limited,Mumbai,7-12 yrs,Exit Interviews- Recruitment- HR- Human Resource Management- Learning,Job purpose: Responsible for Human Resource operations including activities like learning and ...,Not disclosed,3
555,https://www.naukri.com/job-listings-Manager-Corporate-HR-Saaki-Argus-And-Averil-Consulting-Chennai-12-to-15-years-310517000378?src=jobsearchDesk&sid=1496502140232&xp=26,Manager - Corporate HR,Manager - Corporate HR,Saaki Argus And Averil Consulting,Chennai,12-15 yrs,HR Policies- Recruitment- Performance Management System- Payroll Management...," Will be responsible for Corporate Hr functions: 1.	Recruitment 2.	Performance Management ...",Not disclosed,3
556,https://www.naukri.com/job-listings-Head-HR-Media-Group-XLRI-TISS-IIM-Female-Premium-Bengaluru-7-to-12-years-300517900390?src=jobsearchDesk&sid=1496502140232&xp=27,Head HR || Media Group || XLRI - TISS - IIM || Female,Head HR || Media Group || XLRI - TISS - IIM || Female,Premium,Bengaluru,7-12 yrs,HR- Talent Management- Talent Acquisition- Compensation- Employee Relations...,Expectations  -  Understand strategic goals of the business and develop and deploy HR strategies ...,Not disclosed,4
557,https://www.naukri.com/job-listings-Senior-Manager-Corporate-HR-It-telecom-Premium-Pune-8-to-13-years-300517900363?src=jobsearchDesk&sid=1496502140232&xp=28,Senior Manager - Corporate HR - It/telecom,Senior Manager - Corporate HR - It/telecom,Premium,Pune,8-13 yrs,Corporate HR- Talent Management- Induction- PMS- Policy Formulation...,Location : Pune  Domain : Corporate HR  Level : Sr Manager  We are looking for ...,Not disclosed,4
558,https://www.naukri.com/job-listings-Human-Resource-Professional-Manufacturing-Premium-Chennai-4-to-7-years-300517900284?src=jobsearchDesk&sid=1496502140232&xp=29,Human Resource Professional - Manufacturing,Human Resource Professional - Manufacturing,Premium,Chennai,4-7 yrs,HR Professional- HR Generalist- Manpower planning- HR function...,Hiring for Human Resource professional with 4-7 yrs experience with manufacturing experience background. ...,Not disclosed,4
559,https://www.naukri.com/job-listings-HR-Recruiter-Faridabad-NHPC-Chowk-Bhartia-Management-Consultancy-Faridabad-1-to-2-years-300517006670?src=jobsearchDesk&sid=1496502140232&xp=30,HR Recruiter @ Faridabad NHPC Chowk,HR Recruiter @ Faridabad NHPC Chowk,Bhartia Management Consultancy,Faridabad,1-2 yrs,Faridabad- Senior Recruiter- Team Leader- Senior HR executive- Recruitment-...,Designation / Title: Recruiter- Recruitment  Division / Business Unit:  HR Location : ...,Not disclosed,4
560,https://www.naukri.com/job-listings-Hiring-for-HR-Intern-HR-Executive-Recruiter-in-West-Delhi-Acute-Vision-Consultant-Delhi-0-to-2-years-300517004822?src=jobsearchDesk&sid=1496502140232&xp=31,Hiring for HR Intern || HR Executive || Recruiter in West Delhi,Hiring for HR Intern || HR Executive || Recruiter in West Delhi,Acute Vision Consultant,Delhi,0-2 yrs,Recruitment and Staffing- HR and Recruitment and IR- Human Resource...,Company- Name  Acute Vision Consultants    Designation- Â Recruiter/ HR Executive/HR ...,50000 - 250000 P.A.,4
561,https://www.naukri.com/job-listings-HR-Recruiter-Cookies-India-Pvt-Ltd-Chennai-Thiyagaraya-Nagar-1-to-3-years-300517001704?src=jobsearchDesk&sid=1496502140232&xp=32,HR Recruiter,HR Recruiter,Job Cookies India Pvt Ltd.,Chennai(Thiyagaraya Nagar),1-3 yrs,Recruitment- HR,Good Morning All.-    Greeting from Job Cookies.-     Job ...,200000 - 300000 P.A.,4
562,https://www.naukri.com/job-listings-Telemarketing-Executive-ll-Call-HR-Samik-8620090540-Centrum-Direct-Ltd-Kolkata-0-to-3-years-300517001464?src=jobsearchDesk&sid=1496502140232&xp=33,Telemarketing Executive ll Call HR Samik @ 8620090540,Telemarketing Executive ll Call HR Samik @ 8620090540,Centrum Direct Ltd.,Kolkata,0-3 yrs,Telemarketing- telesales- tele marketing executive- outbound...,   Hello-   Greetings from Centrum Direct Ltd.   We are hiring for ...,100000 - 250000 P.A. Incentives+ Loyalty bonus + Ye...,3
563,https://www.naukri.com/job-listings-HR-Officer-for-Chemical-Company-at-Dahej-Bharuch-Sarthee-Consultancy-Bharuch-2-to-3-years-300517000684?src=jobsearchDesk&sid=1496502140232&xp=34,HR Officer for Chemical Company at Dahej Bharuch,HR Officer for Chemical Company at Dahej Bharuch,Sarthee Consultancy,Bharuch,2-3 yrs,HR- Industrial Relations- IR- human resource,Â Industrial relations IR HR Functions ...,200000 - 250000 P.A.,4
564,https://www.naukri.com/job-listings-Avp-vp-HR-Analytics-Net-Employment-Services-Pvt-Ltd-Mumbai-12-to-17-years-300317007837?src=jobsearchDesk&sid=1496502140232&xp=35,Avp/vp - HR Analytics,Avp/vp - HR Analytics,Net Employment Services Pvt Ltd.,Mumbai,12-17 yrs,HR Analytics- HR Reporting- HR specialists- HR advisors...,1) Development of strong working relationships with HR specialists and analytics colleagues regionally ...,2750000 - 4250000 P.A.,3
565,https://www.naukri.com/job-listings-HR-Recruitment-bd-Consultant-Premium-Anywherein-India-9-to-14-years-290517901082?src=jobsearchDesk&sid=1496502140232&xp=36,HR Recruitment/bd Consultant,HR Recruitment/bd Consultant,Premium,Anywherein India,9-14 yrs,Freelance Recruitment- Head Hunting- Selection- HR- Interviewing...,Opportunity to earn at much higher levels through very attractive Incentive makes freelance Recruitment ...,Not disclosed,5
566,https://www.naukri.com/job-listings-HR-Recruitment-bd-Consultant-Premium-Anywherein-India-3-to-8-years-290517901080?src=jobsearchDesk&sid=1496502140232&xp=37,HR Recruitment/bd Consultant,HR Recruitment/bd Consultant,Premium,Anywherein India,3-8 yrs,Sales- Marketing- Head Hunting- Selection- Business Development...,Required skills Self-motivated- Go Getter- self-disciplined with confidence to fulfill on the ...,Not disclosed,5
567,https://www.naukri.com/job-listings-Assistant-Manager-HR-Business-Partner-Omni-Channel-Retail-Brand-Premium-Mumbai-1-to-3-years-290517900331?src=jobsearchDesk&sid=1496502140232&xp=38,Assistant Manager - HR Business Partner - Omni Channel Retail Brand,Assistant Manager - HR Business Partner - Omni Channel Retail Brand,Premium,Mumbai,1-3 yrs,HR- Employee Engagement- Rewards- Recognition- Business Partnering...,Reporting - GM - HR.  Role -  1) Talent Acquisition.  2) Employee Engagement. ...,Not disclosed,5
568,https://www.naukri.com/job-listings-HR-Recruiter-ABC-Consultants-Pvt-Ltd-Mumbai-6-to-11-years-290517007048?src=jobsearchDesk&sid=1496502140232&xp=39,HR Recruiter,HR Recruiter,ABC Consultants Pvt Ltd,Mumbai,6-11 yrs,Recruitment- HR- wealth management- private wealth- talent acquisition...,"Position/Function:	Manager/ AVP Human Resources   Location:	Mumbai  Qualification: ...",Not disclosed,5
569,https://www.naukri.com/job-listings-Urgent-Hiring-for-Freshers-HR-Recruiter-Tekshapers-Software-Solutions-P-Limited-Noida-0-to-1-years-290517006508?src=jobsearchDesk&sid=1496502140232&xp=40,Urgent Hiring for Freshers (HR Recruiter),Urgent Hiring for Freshers (HR Recruiter),Tekshapers Software Solutions (P) Limited,Noida,0-1 yrs,Talent Acquisition- Hiring- Interviewing- Communication Skills...,  Source- screen- interview- and evaluate candidates  Foster long-term relationships ...,Not disclosed,5
570,https://www.naukri.com/job-listings-Human-Resource-Manager-Hiren-International-Pune-6-to-10-years-290517005840?src=jobsearchDesk&sid=1496502140232&xp=41,Human Resource Manager,Human Resource Manager,Hiren International,Pune,6-10 yrs,HR- Human Resource Management,Formed in 1985- the company has grown from having a single South Florida store to operating 30 Srcubs ...,1200000 - 1800000 P.A.,5
571,https://www.naukri.com/job-listings-Required-HR-Recruiter-A-Consultant-Firm-Chandigarh-Symbiosis-Management-Consultants-Panchkula-0-to-5-years-290517004866?src=jobsearchDesk&sid=1496502140232&xp=42,Required HR Recruiter  - A Consultant Firm - Chandigarh,Required HR Recruiter  - A Consultant Firm - Chandigarh,Symbiosis Management Consultants,Panchkula,0-5 yrs,Recruitment- Screening- Hr Mba- Job Posting- Hiring- talent acquisition..., ,Not disclosed,3
572,https://www.naukri.com/job-listings-Hiring-HR-Executive-Day-Shift-Bangalore-Lordi-Systems-Staffing-Solutions-Pvt-Ltd-Bengaluru-Jayamahal-Extension-0-to-5-years-290517004257?src=jobsearchDesk&sid=1496502140232&xp=43,Hiring HR Executive - Day Shift - Bangalore,Hiring HR Executive - Day Shift - Bangalore,Lordi Systems Staffing Solutions Pvt. Ltd,Bengaluru(Jayamahal Extension),0-5 yrs,Recruitment- HR- Talent Acquisition- Hiring- HR Executive- Human Resources-...,Greetings from Lordisystems Staffing Solutions.  Started in 2007 and established in 2009 by a ...,"100000 - 200000 P.A. ""best in industry""",5
573,https://www.naukri.com/job-listings-Assistant-Manager-Human-Capital-Management-HR-Consulting-Analytics-Premium-Mumbai-4-to-8-years-290517003814?src=jobsearchDesk&sid=1496502140232&xp=44,Assistant Manager- Human Capital Management- HR Consulting & Analytics,Assistant Manager- Human Capital Management- HR Consulting & Analytics,Premium,Mumbai,4-8 yrs,HR Analytics- Talent Acquisition- HRIS- HR Consulting- Succession Planning-...,Are you someone with?  - A post graduate/ graduate degree with 4 to 6 years of experience in ...,Not disclosed,5
574,https://www.naukri.com/job-listings-HR-Manager-Leading-Manufacturing-Company-kundli-Sonepat-Ratnasagar-pvt-limited-Sonepat-4-to-9-years-290517003540?src=jobsearchDesk&sid=1496502140232&xp=45,HR Manager - Leading Manufacturing Company(kundli Sonepat),HR Manager - Leading Manufacturing Company(kundli Sonepat),Ratnasagar pvt limited,Sonepat,4-9 yrs,HR Strategy- Recruitment- Employee Engagement- HR Policies...,We have a vacancy for HR Manager for our office which is based out of Kundli- Sonepat. We are looking ...,Not disclosed,5
575,https://www.naukri.com/job-listings-HR-Business-Partner-Deevoir-Consulting-Services-Pvt-Ltd-Pune-Yerwada-10-to-20-years-290517003290?src=jobsearchDesk&sid=1496502140232&xp=46,HR Business Partner,HR Business Partner,Deevoir Consulting Services Pvt Ltd,Pune(Yerwada),10-20 yrs,HR Business Partner- HR Generalist- HR Manager- Employee Relations...,  About the Client:     Our Client is a well-known brokerage and investment ...,Not disclosed,5
576,https://www.naukri.com/job-listings-Hiring-for-HR-Generalist-Profile-TeamLease-Services-Limited-Mumbai-Chennai-Gurgaon-1-to-2-years-290517002669?src=jobsearchDesk&sid=1496502140232&xp=47,Hiring for HR Generalist Profile,Hiring for HR Generalist Profile,TeamLease Services Limited,Mumbai- Chennai- Gurgaon,1-2 yrs,HR Generalist Activities- Joining Formalities- Attendance Management..., Dear Candidate-    Greetings!   We have a job opportunity with one of our ...,Not disclosed,5
577,https://www.naukri.com/job-listings-Manager-HR-Compliance-Payroll-hyderabad-Saaki-Argus-And-Averil-Consulting-Hyderabad-8-to-10-years-290517002117?src=jobsearchDesk&sid=1496502140232&xp=48,Manager- HR Compliance & Payroll (hyderabad),Manager- HR Compliance & Payroll (hyderabad),Saaki Argus And Averil Consulting,Hyderabad,8-10 yrs,Hr Compliance- payroll- statutory compliance- labor laws,Responsible for overall HR Compliance & Payroll - Ownership of all statutory compliance- PF/ESI/L ...,Not disclosed,5
578,https://www.naukri.com/job-listings-Associate-HR-Kelly-Services-India-Pvt-Ltd-Pune-1-to-3-years-290517001503?src=jobsearchDesk&sid=1496502140232&xp=49,Associate HR,Associate HR,Kelly Services India Pvt. Ltd.,Pune,1-3 yrs,HR Generalist Activities- Recruitment- Exit Formalities- Induction Training...,"Manage Recruitment & selection of Associate & employees. 	Coordinating Joining formality and ...",100000 - 150000 P.A.,4
579,https://www.naukri.com/job-listings-HR-Recruiter-Recruitment-Executive-SUNWELLS-OXYGEN-INDIA-PRIVATE-LIMITED-Chennai-Virugambakkam-0-to-2-years-290517001468?src=jobsearchDesk&sid=1496502140232&xp=50,HR Recruiter / Recruitment Executive,HR Recruiter / Recruitment Executive,SUNWELLS OXYGEN INDIA PRIVATE LIMITED,Chennai(Virugambakkam),0-2 yrs,Recruitment- Shortlisting- Screening- Sourcing- HR- Communication Skills,* Good communication skills - Good Attitude . * Screening- sourcing & shortlisting the ...,Not disclosed,5
580,https://www.naukri.com/job-listings-Sr-HR-Recruiter-HR-Recruiter-Hr-Cordinator-MBA-BBA-Fresher-Apply-Oxygent-International-BPO-Technical-BPO-Headhunter-Delhi-NCR-Ghaziabad-Noida-0-to-4-years-290517001081?src=jobsearchDesk&sid=14965021422376&xp=1,Sr. HR Recruiter/ HR Recruiter/ Hr Cordinator- MBA/ BBA  Fresher Apply,Sr. HR Recruiter/ HR Recruiter/ Hr Cordinator- MBA/ BBA  Fresher Apply,Oxygent International BPO Technical BPO Headhunter,Delhi NCR- Ghaziabad- Noida,0-4 yrs,HR and Recruitment and IR- HR- Recruitment and Staffing- Recruitment...,Dear Candidate-  Greetings from Oxygent!!!  We are hiring for our own Consulting firm ...,150000 - 300000 P.A.,5
581,https://www.naukri.com/job-listings-Walk-ins-on-3rd-June-2017-for-HR-Recruiter-Vadodara-Sodexo-Food-Solutions-India-Pvt-Ltd-ces-Vadodara-1-to-3-years-300517002767?src=jobsearchDesk&sid=14965021422376&xp=2,Walk-ins on 3rd June 2017  for HR Recruiter - Vadodara,Walk-ins on 3rd June 2017  for HR Recruiter - Vadodara,Sodexo Food Solutions India Pvt. Ltd.ces,Vadodara,1-3 yrs,Recruitment- recruiter- talent acquisition, Timing - 10 am to 2pm  Date - 3rd June 2017     Job Profile ...,100000 - 225000 P.A.,4
582,https://www.naukri.com/job-listings-Executive-Senior-Executive-HR-General-Executive-Relation-Oasis-Mumbai-3-to-6-years-290517000688?src=jobsearchDesk&sid=14965021422376&xp=3,Executive/ Senior Executive- HR General Executive Relation,Executive/ Senior Executive- HR General Executive Relation,Oasis,Mumbai,3-6 yrs,HR Policies- Employee Relations- Compensation- Induction- Benefits...,1.Compensation & Benefits Management   2.Manage Appraisal increments- Promotion ...,300000 - 500000 P.A.,5
583,https://www.naukri.com/job-listings-Lead-Human-Resource-DigiLantern-Delhi-NCR-11-to-15-years-150317901380?src=jobsearchDesk&sid=14965021422376&xp=4,Lead - Human Resource,Lead - Human Resource,DigiLantern,Delhi NCR,11-15 yrs,Lead - Human Resource- Human Resource- sourcing- HR,- Some of the specific tasks you will work on are listed below. These are meant to simply be a guide and ...,Not disclosed,5
584,https://www.naukri.com/job-listings-Senior-Manager-hr-Randstad-India-Limited-Hyderabad-5-to-8-years-270517900266?src=jobsearchDesk&sid=14965021422376&xp=5,Senior Manager hr,Senior Manager hr,Randstad India Limited,Hyderabad,5-8 yrs,HR- Recruitment- Administration- IR- HR Manager,Recruitments    Compensation & Benefits    Performance Management ...,Not disclosed,7
585,https://www.naukri.com/job-listings-Lead-Human-Resource-DigiLantern-Delhi-NCR-5-to-10-years-150317901365?src=jobsearchDesk&sid=14965021422376&xp=6,Lead - Human Resource,Lead - Human Resource,DigiLantern,Delhi NCR,5-10 yrs,Human Resource- sourcing- HR- Lead - Human Resource,- Some of the specific tasks you will work on are listed below. These are meant to simply be a guide and ...,Not disclosed,5
586,https://www.naukri.com/job-listings-Join-Immediately-HR-Recruiter-Bangalore-Call-Raj-8722299911-Champion-InfoMetrics-Private-Limited-Bengaluru-Sector-6-HSR-Layout-1-to-4-years-270517004555?src=jobsearchDesk&sid=14965021422376&xp=7,Join Immediately!!! HR Recruiter Bangalore Call Raj 8722299911,Join Immediately!!! HR Recruiter Bangalore Call Raj 8722299911,Champion InfoMetrics Private Limited,Bengaluru(Sector 6 HSR Layout),1-4 yrs,Recruitment- Head Hunting- Hiring- Interviewing- Sourcing- HR- Salary..., Job Summary:  Will be responsible for Sourcing/scheduling of profiles/candidates from ...,200000 - 300000 P.A. Incentives and R&R,7
587,https://www.naukri.com/job-listings-HR-Generalist-Manager-female-Candidates-Acculogix-Software-Solutions-India-P-Ltd-Bengaluru-2-to-4-years-270517003868?src=jobsearchDesk&sid=14965021422376&xp=8,HR Generalist / Manager (female Candidates),HR Generalist / Manager (female Candidates),Acculogix Software Solutions India (P) Ltd.,Bengaluru,2-4 yrs,HR Operations- Employee Engagement- Grievance Handling- Onboarding- Payroll...,Looking for HR Generalist/ HR Manager       Minimum 2-4 Yrs of experience into HR functions ...,Not disclosed,7
588,https://www.naukri.com/job-listings-Hr-Recruiter-Specialist-Success-Booster-Pune-Baner-0-to-2-years-270517003582?src=jobsearchDesk&sid=14965021422376&xp=9,Hr Recruiter Specialist,Hr Recruiter Specialist,Success Booster,Pune(Baner),0-2 yrs,HR Recruiter- Hiring- staffing- recruitment- sourcing, Dear Candidates- ...,Not disclosed,7
589,https://www.naukri.com/job-listings-Manager-HR-Male-Candidat-Manufactury-Industrie-Strategic-Management-India-Consultants-Pvt-Ltd-Navi-Mumbai-5-to-10-years-270517002984?src=jobsearchDesk&sid=14965021422376&xp=10,Manager HR   -   ( Male Candidat)  Manufactury Industrie,Manager HR   -   ( Male Candidat)  Manufactury Industrie,Strategic Management India Consultants Pvt Ltd,Navi Mumbai,5-10 yrs,HR- Compensation- Human Resource Management- Talent Acquisition...,Candidate should have work experience of  total Hr like  Talent Acquisition - compensation & benefit ...,Not disclosed,7
590,https://www.naukri.com/job-listings-HR-Generalist-Profile-Operation-Quess-Corp-Ltd-Magna-Infotech-Bengaluru-2-to-5-years-270517001970?src=jobsearchDesk&sid=14965021422376&xp=11,HR Generalist Profile + Operation,HR Generalist Profile + Operation,Quess Corp Ltd (Magna Infotech),Bengaluru,2-5 yrs,HR Generalist- HR- HR MIS- Employee Relations- performance management...,Responsibilities:  HR Operations  Onboarding formalities for new-hires and transfers ...,Not disclosed,7
591,https://www.naukri.com/job-listings-HR-Generalist-with-Operations-MNC-Experience-Quess-Corp-Ltd-Magna-Infotech-Bengaluru-2-to-5-years-270517001665?src=jobsearchDesk&sid=14965021422376&xp=12,HR Generalist with Operations (MNC Experience),HR Generalist with Operations (MNC Experience),Quess Corp Ltd (Magna Infotech),Bengaluru,2-5 yrs,HR Operations- HR Generalist Activities- HR MIS- Payroll- HR Audit...,Responsibilities:  HR Operations   Onboarding formalities for new-hires and transfers ...,Not disclosed,7
592,https://www.naukri.com/job-listings-HR-Executive-Recruitment-Executive-for-Overseas-Staffing-Mann-McGlynn-Delhi-NCR-Connaught-Place-Faridabad-Gurgaon-1-to-5-years-270517001347?src=jobsearchDesk&sid=14965021422376&xp=13,HR Executive / Recruitment Executive for Overseas Staffing,HR Executive / Recruitment Executive for Overseas Staffing,Mann McGlynn,Delhi NCR(Connaught Place)- Faridabad- Gurgaon,1-5 yrs,Hiring- HR- Staffing- Sourcing- Recruitment- Resourcing...,  To work closely with the UK Client Relationship Consultants to understand the requirements of ...,125000 - 300000 P.A.,6
593,https://www.naukri.com/job-listings-Opportunity-to-work-as-HR-Recruiter-Alpha-Management-Consultants-Chennai-Gopalapuram-0-to-5-years-270517001175?src=jobsearchDesk&sid=14965021422376&xp=14,Opportunity to work as HR Recruiter ,Opportunity to work as HR Recruiter ,Alpha Management Consultants,Chennai(Gopalapuram),0-5 yrs,HR- Recruitment,    To Understand the requirements form our clients.  Source resumes from ...,100000 - 200000 P.A.,7
594,https://www.naukri.com/job-listings-HR-Recruiter-it-Technical-BCS-Consulting-Pvt-Ltd-Lucknow-1-to-3-years-250517003137?src=jobsearchDesk&sid=14965021422376&xp=15,HR Recruiter(it Technical),HR Recruiter(it Technical),BCS Consulting Pvt Ltd.,Lucknow,1-3 yrs,Recruitment- HR- Sourcing Profiles- Telephonic- Staffing..., ,50000 - 200000 P.A.,3
